aoi_id,grid_i,grid_j,grid_proj,grid_size,target_catid,context_catids,set,t0_pan,t0_ps,t0_ms,t-1_pan,t-1_ps,t-1_ms,t-2_pan,t-2_ps,t-2_ms,t-3_pan,t-3_ps,t-3_ms
8646,38990,-7261,epsg:3395,437,10504100112BF700,"[""1030010032229B00"", ""1030010033D58900"", ""103001003466F400""]",train,./images/10504100112BF700_i38990_j-7261_t0_pan.tif,./images/10504100112BF700_i38990_j-7261_t0_ps.tif,,./images/1030010032229B00_i38990_j-7261_t-1_pan.tif,./images/1030010032229B00_i38990_j-7261_t-1_ps.tif,,./images/1030010033D58900_i38990_j-7261_t-2_pan.tif,./images/1030010033D58900_i38990_j-7261_t-2_ps.tif,,./images/103001003466F400_i38990_j-7261_t-3_pan.tif,./images/103001003466F400_i38990_j-7261_t-3_ps.tif,
8646,39004,-7225,epsg:3395,437,10500100046A1800,"[""1050010004638D00"", ""1050010004638C00"", ""1030010056C1C800""]",train,./images/10500100046A1800_i39004_j-7225_t0_pan.tif,./images/10500100046A1800_i39004_j-7225_t0_ps.tif,,./images/1050010004638D00_i39004_j-7225_t-1_pan.tif,./images/1050010004638D00_i39004_j-7225_t-1_ps.tif,,./images/1050010004638C00_i39004_j-7225_t-2_pan.tif,./images/1050010004638C00_i39004_j-7225_t-2_ps.tif,,./images/1030010056C1C800_i39004_j-7225_t-3_pan.tif,./images/1030010056C1C800_i39004_j-7225_t-3_ps.tif,
8640,-29320,9824,epsg:3395,437,105001001503A900,"[""1050010014D03200"", ""1050010014D03100"", ""1050010014D03000""]",train,./images/105001001503A900_i-29320_j9824_t0_pan.tif,./images/105001001503A900_i-29320_j9824_t0_ps.tif,,./images/1050010014D03200_i-29320_j9824_t-1_pan.tif,./images/1050010014D03200_i-29320_j9824_t-1_ps.tif,,./images/1050010014D03100_i-29320_j9824_t-2_pan.tif,./images/1050010014D03100_i-29320_j9824_t-2_ps.tif,,./images/1050010014D03000_i-29320_j9824_t-3_pan.tif,./images/1050010014D03000_i-29320_j9824_t-3_ps.tif,
7007,-13043,-8004,epsg:3395,437,1050010006075A00,"[""10300100579E3C00"", ""10500100014BEF00"", ""1050410013147100""]",train,./images/1050010006075A00_i-13043_j-8004_t0_pan.tif,./images/1050010006075A00_i-13043_j-8004_t0_ps.tif,,./images/10300100579E3C00_i-13043_j-8004_t-1_pan.tif,./images/10300100579E3C00_i-13043_j-8004_t-1_ps.tif,,./images/10500100014BEF00_i-13043_j-8004_t-2_pan.tif,./images/10500100014BEF00_i-13043_j-8004_t-2_ps.tif,,./images/1050410013147100_i-13043_j-8004_t-3_pan.tif,./images/1050410013147100_i-13043_j-8004_t-3_ps.tif,
515,3466,15672,epsg:3395,437,1050010006789300,"[""105001000622EF00"", ""105001000579A200"", ""1050010001C62900""]",train,./images/1050010006789300_i3466_j15672_t0_pan.tif,./images/1050010006789300_i3466_j15672_t0_ps.tif,,./images/105001000622EF00_i3466_j15672_t-1_pan.tif,./images/105001000622EF00_i3466_j15672_t-1_ps.tif,,./images/105001000579A200_i3466_j15672_t-2_pan.tif,./images/105001000579A200_i3466_j15672_t-2_ps.tif,,./images/1050010001C62900_i3466_j15672_t-3_pan.tif,./images/1050010001C62900_i3466_j15672_t-3_ps.tif,
584,33272,8465,epsg:3395,437,1050010002D4F700,"[""103001002F744200"", ""10300100228BE100"", ""1030010021498E00""]",train,./images/1050010002D4F700_i33272_j8465_t0_pan.tif,./images/1050010002D4F700_i33272_j8465_t0_ps.tif,,./images/103001002F744200_i33272_j8465_t-1_pan.tif,./images/103001002F744200_i33272_j8465_t-1_ps.tif,,./images/10300100228BE100_i33272_j8465_t-2_pan.tif,./images/10300100228BE100_i33272_j8465_t-2_ps.tif,,./images/1030010021498E00_i33272_j8465_t-3_pan.tif,./images/1030010021498E00_i33272_j8465_t-3_ps.tif,
7060,-24753,9219,epsg:3395,437,1050010002B48100,"[""1050010002A34C00"", ""10500100020DC800"", ""103001003401F100""]",train,./images/1050010002B48100_i-24753_j9219_t0_pan.tif,./images/1050010002B48100_i-24753_j9219_t0_ps.tif,,./images/1050010002A34C00_i-24753_j9219_t-1_pan.tif,./images/1050010002A34C00_i-24753_j9219_t-1_ps.tif,,./images/10500100020DC800_i-24753_j9219_t-2_pan.tif,./images/10500100020DC800_i-24753_j9219_t-2_ps.tif,,./images/103001003401F100_i-24753_j9219_t-3_pan.tif,./images/103001003401F100_i-24753_j9219_t-3_ps.tif,
1030,-16828,4723,epsg:3395,437,1050010008003D00,"[""1050010002CAE100"", ""1030010048816D00"", ""10300100467B8D00""]",train,./images/1050010008003D00_i-16828_j4723_t0_pan.tif,./images/1050010008003D00_i-16828_j4723_t0_ps.tif,,./images/1050010002CAE100_i-16828_j4723_t-1_pan.tif,./images/1050010002CAE100_i-16828_j4723_t-1_ps.tif,,./images/1030010048816D00_i-16828_j4723_t-2_pan.tif,./images/1030010048816D00_i-16828_j4723_t-2_ps.tif,,./images/10300100467B8D00_i-16828_j4723_t-3_pan.tif,./images/10300100467B8D00_i-16828_j4723_t-3_ps.tif,
6866,34943,9494,epsg:3395,437,105001000D9F2500,"[""105001000D396700"", ""1030010066359600"", ""1050010007347000""]",train,./images/105001000D9F2500_i34943_j9494_t0_pan.tif,./images/105001000D9F2500_i34943_j9494_t0_ps.tif,,./images/105001000D396700_i34943_j9494_t-1_pan.tif,./images/105001000D396700_i34943_j9494_t-1_ps.tif,,./images/1030010066359600_i34943_j9494_t-2_pan.tif,./images/1030010066359600_i34943_j9494_t-2_ps.tif,,./images/1050010007347000_i34943_j9494_t-3_pan.tif,./images/1050010007347000_i34943_j9494_t-3_ps.tif,
5499,6066,10438,epsg:3395,437,1050010008019600,"[""1050010007B90E00"", ""1050010007850500"", ""10500100073AAD00""]",train,./images/1050010008019600_i6066_j10438_t0_pan.tif,./images/1050010008019600_i6066_j10438_t0_ps.tif,,./images/1050010007B90E00_i6066_j10438_t-1_pan.tif,./images/1050010007B90E00_i6066_j10438_t-1_ps.tif,,./images/1050010007850500_i6066_j10438_t-2_pan.tif,./images/1050010007850500_i6066_j10438_t-2_ps.tif,,./images/10500100073AAD00_i6066_j10438_t-3_pan.tif,./images/10500100073AAD00_i6066_j10438_t-3_ps.tif,
1229,-486,15687,epsg:3395,437,1050010007AC8000,"[""1030050048F8F400"", ""103005003AF96700"", ""103005002CF99A00""]",train,./images/1050010007AC8000_i-486_j15687_t0_pan.tif,./images/1050010007AC8000_i-486_j15687_t0_ps.tif,,./images/1030050048F8F400_i-486_j15687_t-1_pan.tif,./images/1030050048F8F400_i-486_j15687_t-1_ps.tif,,./images/103005003AF96700_i-486_j15687_t-2_pan.tif,./images/103005003AF96700_i-486_j15687_t-2_ps.tif,,./images/103005002CF99A00_i-486_j15687_t-3_pan.tif,./images/103005002CF99A00_i-486_j15687_t-3_ps.tif,
5499,6030,10436,epsg:3395,437,10500100019A3600,"[""10500100015A2600"", ""10500100015A2400"", ""10500100013E2100""]",train,./images/10500100019A3600_i6030_j10436_t0_pan.tif,./images/10500100019A3600_i6030_j10436_t0_ps.tif,,./images/10500100015A2600_i6030_j10436_t-1_pan.tif,./images/10500100015A2600_i6030_j10436_t-1_ps.tif,,./images/10500100015A2400_i6030_j10436_t-2_pan.tif,./images/10500100015A2400_i6030_j10436_t-2_ps.tif,,./images/10500100013E2100_i6030_j10436_t-3_pan.tif,./images/10500100013E2100_i6030_j10436_t-3_ps.tif,
584,33320,8468,epsg:3395,437,10500C000BD99A00,"[""10500C00118F7F00"", ""10500C00116F6200"", ""1050410011389700""]",train,./images/10500C000BD99A00_i33320_j8468_t0_pan.tif,./images/10500C000BD99A00_i33320_j8468_t0_ps.tif,,./images/10500C00118F7F00_i33320_j8468_t-1_pan.tif,./images/10500C00118F7F00_i33320_j8468_t-1_ps.tif,,./images/10500C00116F6200_i33320_j8468_t-2_pan.tif,./images/10500C00116F6200_i33320_j8468_t-2_ps.tif,,./images/1050410011389700_i33320_j8468_t-3_pan.tif,./images/1050410011389700_i33320_j8468_t-3_ps.tif,
4396,-26717,10977,epsg:3395,437,1050010012564500,"[""1050010011C52900"", ""10300100836F5300"", ""105001001154C000""]",train,./images/1050010012564500_i-26717_j10977_t0_pan.tif,./images/1050010012564500_i-26717_j10977_t0_ps.tif,,./images/1050010011C52900_i-26717_j10977_t-1_pan.tif,./images/1050010011C52900_i-26717_j10977_t-1_ps.tif,,./images/10300100836F5300_i-26717_j10977_t-2_pan.tif,./images/10300100836F5300_i-26717_j10977_t-2_ps.tif,,./images/105001001154C000_i-26717_j10977_t-3_pan.tif,./images/105001001154C000_i-26717_j10977_t-3_ps.tif,
6469,-27147,9495,epsg:3395,437,1050010013615700,"[""1050010013615400"", ""1050010013615300"", ""105001001346F600""]",train,./images/1050010013615700_i-27147_j9495_t0_pan.tif,./images/1050010013615700_i-27147_j9495_t0_ps.tif,,./images/1050010013615400_i-27147_j9495_t-1_pan.tif,./images/1050010013615400_i-27147_j9495_t-1_ps.tif,,./images/1050010013615300_i-27147_j9495_t-2_pan.tif,./images/1050010013615300_i-27147_j9495_t-2_ps.tif,,./images/105001001346F600_i-27147_j9495_t-3_pan.tif,./images/105001001346F600_i-27147_j9495_t-3_ps.tif,
8753,-24364,7929,epsg:3395,437,1050010003737900,"[""1030010050237900"", ""103001004F3C3E00"", ""103001004439FB00""]",train,./images/1050010003737900_i-24364_j7929_t0_pan.tif,./images/1050010003737900_i-24364_j7929_t0_ps.tif,,./images/1030010050237900_i-24364_j7929_t-1_pan.tif,./images/1030010050237900_i-24364_j7929_t-1_ps.tif,,./images/103001004F3C3E00_i-24364_j7929_t-2_pan.tif,./images/103001004F3C3E00_i-24364_j7929_t-2_ps.tif,,./images/103001004439FB00_i-24364_j7929_t-3_pan.tif,./images/103001004439FB00_i-24364_j7929_t-3_ps.tif,
7007,-13047,-8007,epsg:3395,437,105001000F0B1800,"[""1050010009C06600"", ""103001006A03AB00"", ""105001000996B500""]",train,./images/105001000F0B1800_i-13047_j-8007_t0_pan.tif,./images/105001000F0B1800_i-13047_j-8007_t0_ps.tif,,./images/1050010009C06600_i-13047_j-8007_t-1_pan.tif,./images/1050010009C06600_i-13047_j-8007_t-1_ps.tif,,./images/103001006A03AB00_i-13047_j-8007_t-2_pan.tif,./images/103001006A03AB00_i-13047_j-8007_t-2_ps.tif,,./images/105001000996B500_i-13047_j-8007_t-3_pan.tif,./images/105001000996B500_i-13047_j-8007_t-3_ps.tif,
5969,1819,15345,epsg:3395,437,105001000635F400,"[""1030050037F95300"", ""1030050031F8E500"", ""103001002DBD5200""]",train,./images/105001000635F400_i1819_j15345_t0_pan.tif,./images/105001000635F400_i1819_j15345_t0_ps.tif,,./images/1030050037F95300_i1819_j15345_t-1_pan.tif,./images/1030050037F95300_i1819_j15345_t-1_ps.tif,,./images/1030050031F8E500_i1819_j15345_t-2_pan.tif,./images/1030050031F8E500_i1819_j15345_t-2_ps.tif,,./images/103001002DBD5200_i1819_j15345_t-3_pan.tif,./images/103001002DBD5200_i1819_j15345_t-3_ps.tif,
6840,-1546,10220,epsg:3395,437,1050010013D36400,"[""1030050081F90700"", ""10500100139DCF00"", ""10500100139DCD00""]",train,./images/1050010013D36400_i-1546_j10220_t0_pan.tif,./images/1050010013D36400_i-1546_j10220_t0_ps.tif,,./images/1030050081F90700_i-1546_j10220_t-1_pan.tif,./images/1030050081F90700_i-1546_j10220_t-1_ps.tif,,./images/10500100139DCF00_i-1546_j10220_t-2_pan.tif,./images/10500100139DCF00_i-1546_j10220_t-2_ps.tif,,./images/10500100139DCD00_i-1546_j10220_t-3_pan.tif,./images/10500100139DCD00_i-1546_j10220_t-3_ps.tif,
5400,740,14250,epsg:3395,437,1050410000D84D00,"[""1050410000AF2E00"", ""103005000EF9BA00"", ""103005000EF9BB00""]",train,./images/1050410000D84D00_i740_j14250_t0_pan.tif,./images/1050410000D84D00_i740_j14250_t0_ps.tif,,./images/1050410000AF2E00_i740_j14250_t-1_pan.tif,./images/1050410000AF2E00_i740_j14250_t-1_ps.tif,,./images/103005000EF9BA00_i740_j14250_t-2_pan.tif,./images/103005000EF9BA00_i740_j14250_t-2_ps.tif,,./images/103005000EF9BB00_i740_j14250_t-3_pan.tif,./images/103005000EF9BB00_i740_j14250_t-3_ps.tif,
6840,-1544,10225,epsg:3395,437,105001000149E900,"[""1030010049785C00"", ""1030010048C1DF00"", ""105001000134E300""]",train,./images/105001000149E900_i-1544_j10225_t0_pan.tif,./images/105001000149E900_i-1544_j10225_t0_ps.tif,,./images/1030010049785C00_i-1544_j10225_t-1_pan.tif,./images/1030010049785C00_i-1544_j10225_t-1_ps.tif,,./images/1030010048C1DF00_i-1544_j10225_t-2_pan.tif,./images/1030010048C1DF00_i-1544_j10225_t-2_ps.tif,,./images/105001000134E300_i-1544_j10225_t-3_pan.tif,./images/105001000134E300_i-1544_j10225_t-3_ps.tif,
7562,-26657,14864,epsg:3395,437,1050010014967900,"[""103001008C2B7B00"", ""1050010013BA9D00"", ""1050010013A21900""]",train,./images/1050010014967900_i-26657_j14864_t0_pan.tif,./images/1050010014967900_i-26657_j14864_t0_ps.tif,,./images/103001008C2B7B00_i-26657_j14864_t-1_pan.tif,./images/103001008C2B7B00_i-26657_j14864_t-1_ps.tif,,./images/1050010013BA9D00_i-26657_j14864_t-2_pan.tif,./images/1050010013BA9D00_i-26657_j14864_t-2_ps.tif,,./images/1050010013A21900_i-26657_j14864_t-3_pan.tif,./images/1050010013A21900_i-26657_j14864_t-3_ps.tif,
3736,4862,11785,epsg:3395,437,1050050046DD8F00,"[""1030050082F9A600"", ""1050010013A12500"", ""1030050080F93900""]",train,./images/1050050046DD8F00_i4862_j11785_t0_pan.tif,./images/1050050046DD8F00_i4862_j11785_t0_ps.tif,,./images/1030050082F9A600_i4862_j11785_t-1_pan.tif,./images/1030050082F9A600_i4862_j11785_t-1_ps.tif,,./images/1050010013A12500_i4862_j11785_t-2_pan.tif,./images/1050010013A12500_i4862_j11785_t-2_ps.tif,,./images/1030050080F93900_i4862_j11785_t-3_pan.tif,./images/1030050080F93900_i4862_j11785_t-3_ps.tif,
1586,-1173,9971,epsg:3395,437,10500100076D3400,"[""10500100076D3300"", ""1050010005BD4D00"", ""103001004A0F2700""]",train,./images/10500100076D3400_i-1173_j9971_t0_pan.tif,./images/10500100076D3400_i-1173_j9971_t0_ps.tif,,./images/10500100076D3300_i-1173_j9971_t-1_pan.tif,./images/10500100076D3300_i-1173_j9971_t-1_ps.tif,,./images/1050010005BD4D00_i-1173_j9971_t-2_pan.tif,./images/1050010005BD4D00_i-1173_j9971_t-2_ps.tif,,./images/103001004A0F2700_i-1173_j9971_t-3_pan.tif,./images/103001004A0F2700_i-1173_j9971_t-3_ps.tif,
8646,38984,-7193,epsg:3395,437,1050010015102B00,"[""103001008893C400"", ""1030010085B6E600"", ""1030010085733800""]",train,./images/1050010015102B00_i38984_j-7193_t0_pan.tif,./images/1050010015102B00_i38984_j-7193_t0_ps.tif,,./images/103001008893C400_i38984_j-7193_t-1_pan.tif,./images/103001008893C400_i38984_j-7193_t-1_ps.tif,,./images/1030010085B6E600_i38984_j-7193_t-2_pan.tif,./images/1030010085B6E600_i38984_j-7193_t-2_ps.tif,,./images/1030010085733800_i38984_j-7193_t-3_pan.tif,./images/1030010085733800_i38984_j-7193_t-3_ps.tif,
4559,-22883,9512,epsg:3395,437,10500100123E1A00,"[""10500100118B0000"", ""10300100787FFE00"", ""103001007203BB00""]",train,./images/10500100123E1A00_i-22883_j9512_t0_pan.tif,./images/10500100123E1A00_i-22883_j9512_t0_ps.tif,,./images/10500100118B0000_i-22883_j9512_t-1_pan.tif,./images/10500100118B0000_i-22883_j9512_t-1_ps.tif,,./images/10300100787FFE00_i-22883_j9512_t-2_pan.tif,./images/10300100787FFE00_i-22883_j9512_t-2_ps.tif,,./images/103001007203BB00_i-22883_j9512_t-3_pan.tif,./images/103001007203BB00_i-22883_j9512_t-3_ps.tif,
8646,38988,-7283,epsg:3395,437,105001000224E500,"[""103001004AA7AC00"", ""105001000192AB00"", ""10500100017E6600""]",train,./images/105001000224E500_i38988_j-7283_t0_pan.tif,./images/105001000224E500_i38988_j-7283_t0_ps.tif,,./images/103001004AA7AC00_i38988_j-7283_t-1_pan.tif,./images/103001004AA7AC00_i38988_j-7283_t-1_ps.tif,,./images/105001000192AB00_i38988_j-7283_t-2_pan.tif,./images/105001000192AB00_i38988_j-7283_t-2_ps.tif,,./images/10500100017E6600_i38988_j-7283_t-3_pan.tif,./images/10500100017E6600_i38988_j-7283_t-3_ps.tif,
876,4506,19054,epsg:3395,437,105005001CDD8900,"[""105001000E8D1400"", ""10300100755C9900"", ""1030010062C81600""]",train,./images/105005001CDD8900_i4506_j19054_t0_pan.tif,./images/105005001CDD8900_i4506_j19054_t0_ps.tif,,./images/105001000E8D1400_i4506_j19054_t-1_pan.tif,./images/105001000E8D1400_i4506_j19054_t-1_ps.tif,,./images/10300100755C9900_i4506_j19054_t-2_pan.tif,./images/10300100755C9900_i4506_j19054_t-2_ps.tif,,./images/1030010062C81600_i4506_j19054_t-3_pan.tif,./images/1030010062C81600_i4506_j19054_t-3_ps.tif,
2661,6075,12554,epsg:3395,437,105005002CDD8D00,"[""103001007A1DF200"", ""103001007A835600"", ""1030010079C8E800""]",train,./images/105005002CDD8D00_i6075_j12554_t0_pan.tif,./images/105005002CDD8D00_i6075_j12554_t0_ps.tif,,./images/103001007A1DF200_i6075_j12554_t-1_pan.tif,./images/103001007A1DF200_i6075_j12554_t-1_ps.tif,,./images/103001007A835600_i6075_j12554_t-2_pan.tif,./images/103001007A835600_i6075_j12554_t-2_ps.tif,,./images/1030010079C8E800_i6075_j12554_t-3_pan.tif,./images/1030010079C8E800_i6075_j12554_t-3_ps.tif,
5400,615,14235,epsg:3395,437,1050050020DD9B00,"[""103001005FB5B900"", ""1030050054F94100"", ""1050010004BDC900""]",train,./images/1050050020DD9B00_i615_j14235_t0_pan.tif,./images/1050050020DD9B00_i615_j14235_t0_ps.tif,,./images/103001005FB5B900_i615_j14235_t-1_pan.tif,./images/103001005FB5B900_i615_j14235_t-1_ps.tif,,./images/1030050054F94100_i615_j14235_t-2_pan.tif,./images/1030050054F94100_i615_j14235_t-2_ps.tif,,./images/1050010004BDC900_i615_j14235_t-3_pan.tif,./images/1050010004BDC900_i615_j14235_t-3_ps.tif,
6840,-1515,10198,epsg:3395,437,1050010003261D00,"[""10500100031E7500"", ""1050010002C83800"", ""1050010002C83700""]",train,./images/1050010003261D00_i-1515_j10198_t0_pan.tif,./images/1050010003261D00_i-1515_j10198_t0_ps.tif,,./images/10500100031E7500_i-1515_j10198_t-1_pan.tif,./images/10500100031E7500_i-1515_j10198_t-1_ps.tif,,./images/1050010002C83800_i-1515_j10198_t-2_pan.tif,./images/1050010002C83800_i-1515_j10198_t-2_ps.tif,,./images/1050010002C83700_i-1515_j10198_t-3_pan.tif,./images/1050010002C83700_i-1515_j10198_t-3_ps.tif,
1787,-30916,10653,epsg:3395,437,1050010010944100,"[""103001007EBD8400"", ""103001007F238E00"", ""105001000E405500""]",train,./images/1050010010944100_i-30916_j10653_t0_pan.tif,./images/1050010010944100_i-30916_j10653_t0_ps.tif,,./images/103001007EBD8400_i-30916_j10653_t-1_pan.tif,./images/103001007EBD8400_i-30916_j10653_t-1_ps.tif,,./images/103001007F238E00_i-30916_j10653_t-2_pan.tif,./images/103001007F238E00_i-30916_j10653_t-2_ps.tif,,./images/105001000E405500_i-30916_j10653_t-3_pan.tif,./images/105001000E405500_i-30916_j10653_t-3_ps.tif,
6050,-27110,8505,epsg:3395,437,1050010012094F00,"[""105001001056CA00"", ""103001007D68D900"", ""103001007B7A0F00""]",train,./images/1050010012094F00_i-27110_j8505_t0_pan.tif,./images/1050010012094F00_i-27110_j8505_t0_ps.tif,,./images/105001001056CA00_i-27110_j8505_t-1_pan.tif,./images/105001001056CA00_i-27110_j8505_t-1_ps.tif,,./images/103001007D68D900_i-27110_j8505_t-2_pan.tif,./images/103001007D68D900_i-27110_j8505_t-2_ps.tif,,./images/103001007B7A0F00_i-27110_j8505_t-3_pan.tif,./images/103001007B7A0F00_i-27110_j8505_t-3_ps.tif,
8753,-24313,7952,epsg:3395,437,1050010003737800,"[""103001004439FB00"", ""1030010040897D00"", ""103001003D65E100""]",train,./images/1050010003737800_i-24313_j7952_t0_pan.tif,./images/1050010003737800_i-24313_j7952_t0_ps.tif,,./images/103001004439FB00_i-24313_j7952_t-1_pan.tif,./images/103001004439FB00_i-24313_j7952_t-1_ps.tif,,./images/1030010040897D00_i-24313_j7952_t-2_pan.tif,./images/1030010040897D00_i-24313_j7952_t-2_ps.tif,,./images/103001003D65E100_i-24313_j7952_t-3_pan.tif,./images/103001003D65E100_i-24313_j7952_t-3_ps.tif,
7699,-905,11182,epsg:3395,437,1050010003809300,"[""1030010054976D00"", ""1030010055B2DB00"", ""103001004D902C00""]",train,./images/1050010003809300_i-905_j11182_t0_pan.tif,./images/1050010003809300_i-905_j11182_t0_ps.tif,,./images/1030010054976D00_i-905_j11182_t-1_pan.tif,./images/1030010054976D00_i-905_j11182_t-1_ps.tif,,./images/1030010055B2DB00_i-905_j11182_t-2_pan.tif,./images/1030010055B2DB00_i-905_j11182_t-2_ps.tif,,./images/103001004D902C00_i-905_j11182_t-3_pan.tif,./images/103001004D902C00_i-905_j11182_t-3_ps.tif,
